"Date","Price","Open","High","Low","Vol.","Change %"
"07/31/2023","6,931.36","6,901.17","6,931.36","6,895.56","17.15B","0.45%"
"07/28/2023","6,900.23","6,896.81","6,904.10","6,857.37","14.67B","0.05%"
"07/27/2023","6,896.66","6,948.28","6,966.17","6,896.66","15.86B","-0.74%"
"07/26/2023","6,948.28","6,917.71","6,955.98","6,917.41","14.97B","0.44%"
"07/25/2023","6,917.71","6,897.98","6,944.62","6,897.98","15.05B","0.27%"
"07/24/2023","6,899.40","6,880.80","6,929.68","6,877.95","15.01B","0.27%"
"07/21/2023","6,880.80","6,864.19","6,880.80","6,837.65","13.16B","0.24%"
"07/20/2023","6,864.19","6,830.06","6,874.89","6,828.00","14.20B","0.50%"
"07/18/2023","6,830.20","6,877.50","6,900.51","6,800.23","15.04B","-0.54%"
"07/17/2023","6,867.14","6,869.71","6,931.27","6,867.14","17.68B","-0.04%"
"07/14/2023","6,869.57","6,810.21","6,874.78","6,810.21","16.07B","0.87%"
"07/13/2023","6,810.21","6,808.35","6,835.74","6,783.74","17.14B","0.03%"
"07/12/2023","6,808.21","6,796.92","6,820.18","6,785.86","16.17B","0.17%"
"07/11/2023","6,796.92","6,731.18","6,796.92","6,730.63","16.04B","0.98%"
"07/10/2023","6,731.04","6,716.46","6,763.55","6,716.46","12.36B","0.22%"
"07/07/2023","6,716.46","6,757.05","6,757.05","6,711.22","15.83B","-0.60%"
"07/06/2023","6,757.33","6,718.26","6,766.27","6,712.07","17.95B","0.57%"
"07/05/2023","6,718.98","6,681.75","6,719.06","6,676.93","14.89B","0.56%"
"07/04/2023","6,681.75","6,696.86","6,713.99","6,672.77","14.63B","-0.22%"
"07/03/2023","6,696.72","6,661.74","6,696.72","6,660.82","12.56B","0.52%"
"06/27/2023","6,661.88","6,664.67","6,679.63","6,652.90","14.23B","-0.04%"
"06/26/2023","6,664.67","6,639.73","6,674.06","6,622.18","12.60B","0.38%"
"06/23/2023","6,639.73","6,652.26","6,665.66","6,635.48","11.34B","-0.19%"
"06/22/2023","6,652.26","6,702.77","6,717.98","6,652.26","16.85B","-0.75%"
"06/21/2023","6,702.63","6,660.46","6,702.63","6,635.67","12.03B","0.63%"
"06/20/2023","6,660.46","6,686.06","6,692.44","6,626.15","11.83B","-0.38%"
"06/19/2023","6,686.06","6,698.55","6,705.04","6,669.05","16.14B","-0.19%"
"06/16/2023","6,698.55","6,713.52","6,726.46","6,669.34","17.21B","-0.23%"
"06/15/2023","6,713.79","6,699.72","6,717.46","6,660.91","15.12B","0.21%"
"06/14/2023","6,699.72","6,718.87","6,744.64","6,672.86","17.83B","-0.29%"
"06/13/2023","6,719.01","6,722.37","6,744.04","6,697.07","17.66B","-0.05%"
"06/12/2023","6,722.37","6,694.58","6,722.37","6,670.52","15.87B","0.42%"
"06/09/2023","6,694.02","6,666.05","6,703.82","6,648.96","18.28B","0.42%"
"06/08/2023","6,666.33","6,619.75","6,666.33","6,598.42","16.86B","0.70%"
"06/07/2023","6,619.75","6,619.06","6,638.58","6,578.76","16.29B","0.01%"
"06/06/2023","6,618.92","6,633.44","6,677.57","6,602.00","23.18B","-0.22%"
"06/05/2023","6,633.44","6,633.26","6,663.71","6,598.51","15.27B","0.00%"
"05/31/2023","6,633.26","6,636.42","6,657.65","6,562.96","61.51B","-0.05%"
"05/30/2023","6,636.42","6,681.10","6,700.24","6,636.42","17.38B","-0.67%"
"05/29/2023","6,681.10","6,687.28","6,708.37","6,617.24","16.48B","-0.09%"
"05/26/2023","6,687.00","6,704.23","6,727.29","6,669.24","18.15B","-0.26%"
"05/25/2023","6,704.23","6,745.80","6,749.71","6,702.53","15.70B","-0.62%"
"05/24/2023","6,745.80","6,736.68","6,755.88","6,713.89","13.77B","0.14%"
"05/23/2023","6,736.68","6,729.65","6,772.65","6,727.07","16.22B","0.10%"
"05/22/2023","6,729.65","6,700.56","6,757.62","6,675.88","16.75B","0.43%"
"05/19/2023","6,700.56","6,663.11","6,715.03","6,662.75","16.16B","0.56%"
"05/17/2023","6,663.11","6,676.42","6,706.60","6,661.47","18.04B","-0.20%"
"05/16/2023","6,676.56","6,711.74","6,729.07","6,659.07","15.64B","-0.52%"
"05/15/2023","6,711.74","6,708.46","6,729.30","6,656.65","14.26B","0.06%"
"05/12/2023","6,707.76","6,755.94","6,755.94","6,704.57","17.38B","-0.71%"
"05/11/2023","6,755.94","6,811.90","6,814.12","6,717.42","16.29B","-0.82%"
"05/10/2023","6,811.90","6,780.40","6,820.12","6,775.19","18.15B","0.47%"
"05/09/2023","6,779.98","6,769.63","6,793.77","6,742.18","17.21B","0.15%"
"05/08/2023","6,769.63","6,787.49","6,798.32","6,756.66","17.96B","-0.27%"
"05/05/2023","6,787.63","6,844.03","6,851.59","6,733.78","14.82B","-0.82%"
"05/04/2023","6,844.03","6,812.72","6,846.12","6,780.09","13.75B","0.46%"
"05/03/2023","6,812.72","6,863.30","6,865.61","6,776.90","12.13B","-0.74%"
"05/02/2023","6,863.30","6,915.72","6,920.34","6,814.34","13.65B","-0.76%"
"04/28/2023","6,915.72","6,945.48","6,958.67","6,897.71","13.06B","-0.43%"
"04/27/2023","6,945.48","6,910.85","6,971.91","6,877.65","16.16B","0.51%"
"04/26/2023","6,910.15","6,821.81","6,910.15","6,821.60","12.02B","1.29%"
"04/18/2023","6,821.81","6,787.58","6,839.76","6,784.17","10.37B","0.50%"
"04/17/2023","6,787.58","6,818.71","6,829.51","6,765.14","9.49B","-0.45%"
"04/14/2023","6,818.57","6,785.88","6,838.07","6,785.70","13.70B","0.49%"
"04/13/2023","6,785.60","6,798.54","6,816.88","6,764.66","16.15B","-0.20%"
"04/12/2023","6,798.96","6,811.46","6,833.74","6,775.28","15.14B","-0.18%"
"04/11/2023","6,811.31","6,771.23","6,811.31","6,738.77","16.14B","0.59%"
"04/10/2023","6,771.23","6,792.77","6,799.49","6,735.19","12.94B","-0.32%"
"04/06/2023","6,792.77","6,819.67","6,832.73","6,786.29","17.29B","-0.39%"
"04/05/2023","6,819.67","6,833.18","6,867.34","6,816.43","12.40B","-0.20%"
"04/04/2023","6,833.18","6,827.03","6,859.69","6,781.52","13.16B","0.09%"
"04/03/2023","6,827.17","6,805.28","6,849.36","6,805.13","12.75B","0.32%"
"03/31/2023","6,805.28","6,809.09","6,831.55","6,789.61","13.90B","-0.05%"
"03/30/2023","6,808.95","6,839.44","6,868.63","6,803.09","14.05B","-0.45%"
"03/29/2023","6,839.44","6,760.33","6,851.51","6,760.33","14.33B","1.17%"
"03/28/2023","6,760.33","6,708.93","6,764.65","6,708.93","12.61B","0.77%"
"03/27/2023","6,708.93","6,762.25","6,772.60","6,704.75","13.52B","-0.79%"
"03/24/2023","6,762.25","6,694.02","6,776.90","6,692.17","14.66B","1.06%"
"03/21/2023","6,691.61","6,612.49","6,691.61","6,609.22","14.55B","1.20%"
